Date,Open,High,Low,Close,Volume
2016-02-29,409.0662030563329,415.9966738384524,405.5164446961665,407.03778076171875,312785
2016-03-01,412.95402866466617,419.03929556566897,409.0662042098986,415.48956298828125,360570
2016-03-02,412.27782838154474,429.51948064646797,409.0661622184319,428.84332275390625,393525
2016-03-03,425.1245557807337,447.2682308323519,425.1245557807337,446.0849609375,359960
2016-03-04,450.1418053081741,472.6235722153351,443.8875187379755,461.1291198730469,719185
2016-03-07,457.24137105333836,474.65202000080484,454.53679070411397,472.1164855957031,495165
2016-03-08,467.5525191349238,467.5525191349238,441.6900392142636,442.53521728515625,452285
2016-03-09,448.9586020895207,452.3393143769635,436.28093101161016,444.05657958984375,353965
2016-03-10,440.8448886812245,445.5779171252224,433.2382855680361,443.5494689941406,301225
2016-03-11,450.31081879103033,465.3549765634902,450.31081879103033,462.143310546875,348070
2016-03-14,452.17024574955695,458.59357813905973,448.1134015253671,453.353515625,281160
2016-03-15,445.74691240123707,449.12762451171875,437.6331723847373,449.12762451171875,388480
2016-03-16,453.8605839309314,456.3961179193724,446.0849360492649,455.0438537597656,399675
2016-03-17,460.79108722912883,472.2854881759763,456.56519694196805,467.7215576171875,351050
2016-03-18,471.60939500925247,473.468797206333,455.5510105913747,459.10076904296875,425005
2016-03-21,451.663137806782,463.326583734019,450.4798679883442,462.65045166015625,411790
2016-03-22,455.043908648421,461.80533343317865,453.01546057876277,455.5509948730469,201540
2016-03-23,449.9728507262846,454.19874131693126,441.6900639001544,443.21142578125,278785
2016-03-24,434.0834189803294,444.7326931932456,431.54791066321803,444.2255554199219,285710
2016-03-28,444.2255830089126,446.25403105703896,438.1403420356871,443.8875427246094,203230
2016-03-29,435.0976848958614,444.0566038993793,429.5195299504392,443.21142578125,349855
2016-03-30,448.95857858908005,454.02964675480257,443.2113783183758,449.12762451171875,405110
2016-03-31,447.94433953987385,455.2128496981791,445.4088055424783,449.8037414550781,217120
2016-04-01,440.3378325853523,444.0566372183867,433.5764071329861,437.9713439941406,316655
2016-04-04,436.11182410403603,442.19711568771766,428.3361766129744,431.7168884277344,310650
2016-04-05,425.96978795739193,433.91448320828977,424.78654370495724,430.1956787109375,314745
2016-04-06,434.08346032019205,445.74695960495353,427.32206117599645,438.98553466796875,343020
2016-04-07,435.773800093485,440.3377823877809,426.3078210149485,431.2098693847656,215310
2016-04-08,443.2114105704262,450.6489674375948,441.01391658735986,443.8875427246094,217365
2016-04-11,447.77533215468543,450.986998510641,443.38039586389465,444.05657958984375,187940
2016-04-12,447.4372943207787,463.3266318414178,442.7042661411659,459.43878173828125,558610
2016-04-13,462.31238790265036,470.088036188146,457.4103655875249,466.3692321777344,387520
2016-04-14,469.74998996153266,469.74998996153266,457.57945595423917,462.81951904296875,356625
2016-04-15,455.71999261624336,461.9742789293913,449.8037465552383,458.59356689453125,376045
2016-04-18,445.40878352929894,469.5808524755989,444.7326514805238,467.0453186035156,269460
2016-04-19,471.94740404637105,487.49864790660394,470.9331801545891,486.3154296875,476985
2016-04-20,481.7515719555687,494.7673368145665,480.90639375915543,489.5272216796875,412430
2016-04-21,489.35806524702554,494.5981791989094,486.1463991428295,486.9915771484375,270445
2016-04-22,484.45610493555796,503.2190693708338,482.93479464849844,495.44342041015625,388210
2016-04-25,491.0483891132176,495.7813650005634,477.1874500943831,482.7656555175781,327430
2016-04-26,485.132104151328,486.99150580839364,476.0041933450361,484.28692626953125,233865
2016-04-27,488.68196632505743,504.06421738818517,487.83678826208967,501.02154541015625,553840
2016-04-28,495.4433995699989,509.13529474875986,491.3865551132932,498.1479797363281,541755
2016-04-29,502.37394102663006,515.0516139840425,494.76733725218264,507.7830505371094,434115
2016-05-02,505.07845461011874,508.96630515002875,496.62667289585585,501.52874755859375,496935
2016-05-03,491.3865402144222,493.41493658848594,480.06113367999535,483.7799377441406,351515
2016-05-04,485.4703413977023,490.0342723755377,469.58095119060147,472.1164855957031,368360
2016-05-05,479.7229783356386,487.8367175147993,461.63620136246345,465.8620910644531,316560
2016-05-06,464.84782951139624,476.8493656086213,460.7909860436822,470.2569885253906,230635
2016-05-09,463.495641865534,465.3549922212721,446.761075979316,450.64892578125,248510
2016-05-10,453.1844320790155,461.6362116717402,453.01538617004724,460.45294189453125,217955
2016-05-11,459.10072352010707,469.07381411572294,454.0296552593965,461.1291198730469,199965
2016-05-12,469.9189552801328,470.93317916979385,456.22706173363366,461.8052673339844,210325
2016-05-13,458.0864939800949,464.1717861360595,449.4656677246094,449.4656677246094,302675
2016-05-16,455.7199907528487,466.70730482121763,455.7199907528487,462.4814147949219,233005
2016-05-17,462.3123347856159,474.65191211824435,461.6362027483812,470.0879821777344,232030
2016-05-18,466.70735608501246,470.933246575486,452.17028248066805,455.5509948730469,393660
2016-05-19,450.8179628938297,454.8748069502552,443.54940118989515,452.17022705078125,322865
2016-05-20,454.3676953584175,461.63625748077516,451.83216122899427,459.77685546875,258290
2016-05-23,455.55102248533854,460.9601832752408,452.8464420903874,457.9175109863281,146635
2016-05-24,460.622079354915,461.12916559703746,453.69160839429406,459.10076904296875,156695
2016-05-25,462.48143307845083,477.6946377745474,462.48143307845083,477.1875,283010
2016-05-26,478.0326804808006,485.3012426018572,473.29970407428726,473.46875,289030
2016-05-27,473.1307039504656,476.51141644969806,469.0738592685024,475.4971923828125,139880
2016-05-31,476.00426614582517,484.28700033709384,471.60933017120135,475.1590881347656,221130
2016-06-01,467.21438082594796,472.79258649064803,459.7768248585849,470.5950927734375,434145
2016-06-02,467.8905180661798,469.07378789509863,460.45296201666906,467.2143859863281,427015
2016-06-03,468.73575787314303,474.8210505653994,464.3408729817814,471.4403381347656,191410
2016-06-06,477.3565604014264,505.585528383389,476.0042961327711,505.2474365234375,638825
2016-06-07,507.4448729690865,520.1225424977721,506.43064908967773,517.925048828125,630140
2016-06-08,523.3342985695193,528.5744131940718,515.3896036627224,521.81298828125,538590
2016-06-09,510.48748909585385,516.9108209734284,510.14939727679456,514.71337890625,262380
2016-06-10,505.0783306717178,510.1493984559141,498.65499877929693,498.6549987792969,301685
2016-06-13,493.41492662400026,503.895154894526,490.87939251844466,494.7672424316406,261450
2016-06-14,490.37240295386897,499.5003172153061,484.4561555418434,492.7388916015625,235560
2016-06-15,489.69627985763606,500.8525910602573,486.4845613626428,491.21759033203125,346105
2016-06-16,482.934728588588,484.45603866754976,472.285454864713,482.258544921875,411465
2016-06-17,490.7104132545169,497.6408844016153,487.32970065452554,495.61248779296875,236950
2016-06-20,503.050023431032,507.9520461718141,494.936282590751,495.44342041015625,202310
2016-06-21,494.93619902408835,504.5712485246154,489.8651311997204,501.8666687011719,206855
2016-06-22,505.92358321750004,508.6281634182197,499.6692963130111,500.3454284667969,174200
2016-06-23,510.65654102841023,514.206298828125,505.07833546155285,514.206298828125,194850
2016-06-24,488.8509818264842,497.9788940212584,485.47026978504397,485.97735595703125,306485
2016-06-27,479.384990019506,481.24439200683446,458.9316713300397,460.283935546875,334700
2016-06-28,472.79267266733507,474.99011519950653,467.8905981815097,473.97589111328125,181220
2016-06-29,481.7515566294281,490.71042459216375,479.21602212085213,487.3297119140625,267850
2016-06-30,485.63935612900514,494.4292297363281,483.78000542239374,494.4292297363281,181525
2016-07-01,494.598193110985,507.44490947469365,494.09105534201245,506.5997314453125,128870
2016-07-05,494.4291009143413,497.64076680829515,475.6661401009911,482.7656555175781,266830
2016-07-06,479.3849767370705,481.92051076256394,471.94742057940414,481.75146484375,169410
2016-07-07,489.5270937618155,497.1336955418609,475.83520024061977,480.56817626953125,267535
2016-07-08,485.977393460561,493.0769099296935,484.62512917385766,491.0484619140625,285095
2016-07-11,494.0909690641478,497.8097723782791,483.6107942812067,484.28692626953125,147255
2016-07-12,495.78147116044966,509.6424131472773,494.42920678467203,507.9520568847656,269225
2016-07-13,506.0925909095879,509.30425708656395,491.72456448865614,495.2743225097656,210210
2016-07-14,503.89515620204327,505.7545582013902,499.5002200905615,501.6976623535156,129655
2016-07-15,504.9094444953106,505.24748480198804,497.80992744254314,497.9789733886719,98630
2016-07-18,495.2743118039144,500.6834716796875,490.71032993463257,500.6834716796875,188475
2016-07-19,498.6550743752333,499.6692984029424,492.0626955734897,493.7530517578125,149385
2016-07-20,490.20331760394316,496.79569673046655,483.1038006457922,492.90789794921875,234730
2016-07-21,492.231709232061,500.00730590161737,483.9489232035425,485.3012390136719,268060
2016-07-22,487.16065573303416,487.16065573303416,477.8636970479425,483.103759765625,229205
2016-07-25,479.89206050158964,480.39919825548844,470.25706220437104,471.9474182128906,171270
2016-07-26,469.918971894742,478.8778381347656,469.0737938877371,478.8778381347656,163195
2016-07-27,479.2159284152961,484.96312852714834,468.90474644621247,471.9474182128906,225800
2016-07-28,471.27124277483097,480.3992066487729,467.04535267969953,468.9047546386719,186680
2016-07-29,465.6930843096018,477.3565305505137,465.1859981369598,476.5113525390625,205300
2016-08-01,470.7641883578268,471.77841236619764,455.72002892131667,456.7342529296875,496800
2016-08-02,461.2982235836219,464.002803978573,449.80382138705517,457.9175109863281,383090
2016-08-03,457.4102917459786,468.566650390625,455.5508900409433,468.566650390625,315325
2016-08-04,465.86214414993,474.3139245169985,465.86214414993,471.6093444824219,179815
2016-08-05,472.11643232678364,479.21594849426145,469.74994413281564,478.7088623046875,278880
2016-08-08,481.07543971555475,493.24597479255596,481.07543971555475,489.5272216796875,313080
2016-08-09,493.41491491694495,493.5839608370858,482.2585548000881,484.963134765625,220590
2016-08-10,488.1748642549342,488.3439101970116,474.48301990150594,475.4971923828125,193490
2016-08-11,477.5255658302467,484.79407593254956,475.4971180137306,481.9205017089844,293025
2016-08-12,484.79413047600406,486.4844866514233,476.1733552498273,478.2017517089844,172150
2016-08-15,480.0612184729131,490.71044317804353,480.0612184729131,488.51300048828125,155795
2016-08-16,490.2033477120711,492.4007903606853,487.16072687774647,490.0343017578125,173090
2016-08-17,488.68204348327424,489.6962676360868,482.76579610838127,489.5272216796875,226820
2016-08-18,491.55556798715924,505.07841774290586,491.55556798715924,503.3880615234375,318925
2016-08-19,501.52868319928194,501.86672347312395,495.61243675850784,501.02154541015625,227910
2016-08-22,494.7672407145207,494.7672407145207,486.484454729993,487.667724609375,225405
2016-08-23,484.7940871580664,493.24586727996837,484.7940871580664,490.2032470703125,224610
2016-08-24,486.82249936181296,490.87934320604774,481.75143166012737,482.7656555175781,276850
2016-08-25,485.80834322171324,488.5129233567202,481.244412605366,483.61090087890625,104155
2016-08-26,485.3012317184332,491.2174778866833,478.0326697603822,480.23016357421875,222450
2016-08-29,477.35652888244704,485.13217687774124,477.1874829636331,481.75146484375,132675
2016-08-30,484.96312344208,488.0057951768543,474.99003341350146,476.6803894042969,280415
2016-08-31,476.00423590288443,476.00423590288443,465.69305450596534,467.0453186035156,201210
2016-09-01,464.84788229973896,466.70728414605173,459.9458604035101,465.18597412109375,180665
2016-09-02,467.7215183107258,475.4971145171949,467.7215183107258,469.2428283691406,125345
2016-09-06,469.073811288837,476.34232178448866,469.073811288837,475.8352355957031,188330
2016-09-07,477.52559428923627,477.52559428923627,471.60934798830766,473.46875,277785
2016-09-08,477.8636826074677,487.16064101161635,472.4545225380973,485.3012390136719,235585
2016-09-09,479.55403020882625,481.2443862524449,462.3123779296875,462.3123779296875,323950
2016-09-12,456.56516738091636,471.271233676723,455.7199893782066,469.07379150390625,201945
2016-09-13,461.63622194856396,465.0169338609144,450.8179541461566,453.6915283203125,324285
2016-09-14,453.1844536925986,461.1290959373199,448.62047186063114,451.156005859375,270765
2016-09-15,452.6773083154726,459.77682402658183,450.31082027362635,456.9031982421875,184655
2016-09-16,451.4940886382495,454.19866849978064,447.94433079408793,451.3250427246094,198970
2016-09-19,456.3961287190143,459.2697546081407,449.63470458984375,449.63470458984375,245375
2016-09-20,450.6489645683459,451.4941426520879,444.73271798215194,444.9017639160156,213000
2016-09-21,452.1702319706376,459.7768340037885,449.6346979595873,459.6077880859375,350320
2016-09-22,466.36919232469694,469.74990419596776,464.0027043319212,465.18597412109375,294390
2016-09-23,463.15755933579095,466.70731737044264,450.4798889160156,450.4798889160156,372035
2016-09-26,459.43868780538287,459.7767796010804,451.8320866722768,452.5082702636719,293370
2016-09-27,449.6347043765105,450.81797423278283,441.18292421905727,448.2824401855469,261255
2016-09-28,450.47988848160173,475.4971374516041,446.0849524232032,474.99005126953125,459260
2016-09-29,477.3564914033097,495.95040613038,477.18744549776824,487.4986267089844,567280
2016-09-30,491.8936587430051,497.3028192671937,486.4844982188165,494.936279296875,265425
2016-10-03,495.781475545182,496.7956996287748,486.48451601914456,490.5414123535156,231400
2016-10-04,494.59816356350746,496.7956056743933,484.2869819039362,486.3154296875,202305
2016-10-05,495.1052810665879,505.7545552262532,493.24587907817903,501.359619140625,294370
2016-10-06,504.06425195747363,509.6424069213867,500.17640164984385,507.10687255859375,246570
2016-10-07,507.10679886731816,510.3184649430303,502.37382271211834,505.41644287109375,202870
2016-10-10,510.65648723603414,518.7701742787725,510.65648723603414,516.4036865234375,197225
2016-10-11,513.0231165596341,514.0373406162416,505.7546053941738,509.4733581542969,154840
2016-10-12,506.93780517578125,509.6423853654829,504.90940872268743,506.93780517578125,129600
2016-10-13,501.3596688725933,511.33276032714764,499.6693126401069,509.4733581542969,297090
2016-10-14,510.6566242184981,513.3612044867631,503.21906716995306,503.3880615234375,196365
2016-10-17,504.90933634736655,507.9519563836567,497.47172899542346,498.6549987792969,190120
2016-10-18,506.09266043410105,508.6281948567023,500.00736750274194,504.57135009765625,198200
2016-10-19,511.501716901152,523.1651625504289,509.6423150531642,517.925048828125,372580
2016-10-20,512.3470275966321,517.2490507671783,509.8114930340479,515.3896484375,220890
2016-10-21,511.67083409220027,512.8540524617019,506.59976557428183,511.1636962890625,221045
2016-10-24,510.65664304227977,512.1779533787641,498.8241490698331,505.9236145019531,246850
2016-10-25,504.74030941207246,512.8539975375755,497.97888544562966,499.8382873535156,297640
2016-10-26,492.4006609180735,500.5144003192984,489.18899497377515,497.302734375,324485
2016-10-27,498.4860588600559,500.51450703926116,490.372369314395,490.87945556640625,253315
2016-10-28,491.5555129665401,492.90782874209464,481.24438245038755,484.963134765625,308945
2016-10-31,482.93478263300915,485.47031691021664,474.14490983779257,474.4830017089844,323550
2016-11-01,479.38497480130314,480.5681930570791,467.2143908938511,474.6519470214844,306815
2016-11-02,468.9047536112628,470.2570693900853,460.4529734395184,464.6788635253906,222190
2016-11-03,468.73571852338915,473.80678674363025,466.0311900743861,471.6093444824219,268810
2016-11-04,469.7499172449522,474.1448531168032,462.3123612386655,468.2286071777344,277705
2016-11-07,478.70886173806855,479.38499385189147,473.29970165633813,477.1875,230260
2016-11-08,475.8351990064568,479.722997049724,471.10222298982114,476.34228515625,179225
2016-11-09,476.34234003824673,492.5697693136861,473.4687655490555,492.06268310546875,440950
2016-11-10,489.8651783758466,500.5144527839321,489.02000032372433,498.8240966796875,370870
2016-11-11,494.09111926772067,495.2743892961755,481.9205850213468,490.5414123535156,178490
2016-11-14,487.83680297767944,499.331204346539,486.8225789544091,498.9931640625,165880
2016-11-15,505.2474863270994,517.0799803937086,503.8952219251476,516.2348022460938,337075
2016-11-16,513.1921227897899,516.4037890658834,508.29010041200763,510.99462890625,252720
2016-11-17,516.9109989140201,519.6155796408078,507.78308409849984,509.6424865722656,143325
2016-11-18,512.0088068775351,513.0230307645295,508.79714089002766,510.3184509277344,129570
2016-11-21,518.7703464358372,525.3627257939784,518.7703464358372,523.165283203125,288320
2016-11-22,526.5459646499748,526.5459646499748,513.8682929489321,520.2916259765625,278325
2016-11-23,517.5871221991249,525.5317658962252,515.7277199430101,525.1937255859375,116995
2016-11-25,521.8129878491502,522.3200740829606,516.2347813493444,520.2916259765625,98370
2016-11-28,521.1367717621638,522.1509957524472,510.3185028988152,510.487548828125,341880
2016-11-29,501.3596065105112,503.0499625327411,493.2458666524644,499.66925048828125,343420
2016-11-30,529.588501639311,558.3245529596115,528.2362375055249,552.7463989257812,908400
2016-12-01,564.0718682787145,571.8474653056228,557.4794380207019,561.1982421875,334900
2016-12-02,559.0007793392001,566.9454220071885,557.4794175904432,565.2550659179688,258225
2016-12-05,569.1428696904646,578.6088217535055,568.8047778658262,575.3971557617188,232335
2016-12-06,568.1286734310754,578.6088498921288,562.7195134872223,577.763671875,164740
2016-12-07,575.7352294921875,578.7778494760316,570.6641617954017,575.7352294921875,260245
2016-12-08,574.8900720387843,584.187029814348,572.1854921869609,583.8489379882812,184205
2016-12-09,587.0606239029629,589.5961579277421,582.8347338616644,589.2581176757812,223440
2016-12-12,608.5281884684845,614.4444347452614,589.7652256735915,592.1317138671875,349810
2016-12-13,595.5124232411256,597.5408711607664,583.5109364042338,593.1459350585938,248930
2016-12-14,587.736766691694,590.4412948615252,573.1996956437946,575.7352294921875,417830
2016-12-15,572.5235735865044,581.8205311927563,568.2976837654809,578.4398193359375,318615
2016-12-16,580.9752643180706,582.4965741037091,575.7351514248165,578.7777709960938,184355
2016-12-19,577.5099440075102,580.5945459349036,574.5966681781491,575.7962646484375,489360
2016-12-20,581.7939711353146,583.3362716449852,575.7960951442288,577.68115234375,127495
2016-12-21,580.0802943586951,581.6225948738906,576.4815582916865,580.9371337890625,145070
2016-12-22,579.3948778481151,583.6790753295456,578.1952816343817,580.423095703125,153320
