Date,Open,High,Low,Close,Volume
2016-02-29,36.4125401179623,36.86122417468769,36.162311805950196,36.18819808959961,2167623
2016-03-01,36.55921260882202,37.82760889527527,36.55921260882202,37.64641189575195,2433940
2016-03-02,37.60327792796022,38.647336035506164,37.482477587717945,38.63007736206055,3003344
2016-03-03,38.63007536695768,39.398018865425364,38.59556147980798,39.380760192871094,2580178
2016-03-04,39.3548658924401,39.56195263109257,38.91480959851696,39.156410217285156,1959506
2016-03-07,38.871671461014486,39.70864263529689,38.828526513685006,39.44978332519531,2210590
2016-03-08,39.268599033648684,39.44979611411469,38.06059890210453,38.422996520996094,2656238
2016-03-09,38.63007507894959,39.13053162582735,38.01744926416127,39.00973129272461,1867897
2016-03-10,39.052867776947544,39.449779119126774,38.09509638499205,38.707725524902344,1780071
2016-03-11,39.05286651744099,39.898465180577944,38.80263830632946,39.88120651245117,3515492
2016-03-14,39.510188801040854,39.80356203370325,39.1046462977384,39.48430252075195,2866351
2016-03-15,39.13053197730883,39.44116042008924,39.06150420290403,39.234073638916016,2205022
2016-03-16,39.018355541767306,40.16595158985125,38.91481044121973,40.096923828125,2353152
2016-03-17,40.05378480900594,40.92526986387179,39.88983954235867,40.7526969909668,2188634
2016-03-18,40.92526640152753,41.62417852435928,40.77857981776405,41.123722076416016,3196437
2016-03-21,41.1841323291515,41.55516095331924,40.39893358464078,40.79584503173828,2166257
2016-03-22,40.58012637979008,40.908009987502346,40.45069499994753,40.597381591796875,1461330
2016-03-23,40.519738772002164,40.769967087270274,39.8553368288728,39.86396789550781,2189159
2016-03-24,40.15732712635893,40.17458579712005,39.5705841898579,39.993385314941406,2720113
2016-03-28,40.140061645309494,40.47657627541022,39.60509135389809,40.29537582397461,2307767
2016-03-29,41.41709257654294,41.92618009768947,40.47657981731513,41.57240676879883,6111534
2016-03-30,41.96069802265589,42.02972579076524,41.123726824943994,41.25315475463867,2294215
2016-03-31,41.13235541702988,41.79675721038794,41.13235541702988,41.727725982666016,2215843
2016-04-01,41.31355251073154,41.41709415686683,40.80446842811843,40.94252395629883,2959535
2016-04-04,40.9425162790573,40.9856612169922,40.002003660301035,40.4248046875,2260912
2016-04-05,40.2004549842562,40.72679758154701,39.734512527209766,40.37302780151367,1777129
2016-04-06,40.41618760475698,41.35670054882874,40.34715982973423,41.13235855102539,2117301
2016-04-07,41.02018141273787,41.49475159743722,40.86486721974916,41.10646438598633,2392548
2016-04-08,41.56378044757105,41.632808211160594,40.98566860506071,41.063323974609375,1916854
2016-04-11,41.46886905654783,41.60692459254382,40.890757177116484,40.90801239013672,2062882
2016-04-12,40.90799987846194,41.26176967472038,40.605999163389214,41.09782791137695,1410798
2016-04-13,41.313546828121105,42.09874531705056,41.20137413343496,41.986576080322266,1767359
2016-04-14,41.943437605202874,42.24543840055471,41.44298112031032,41.6845817565918,1370142
2016-04-15,41.63279884744661,41.727712865524516,40.97702832491993,41.34805679321289,2515148
2016-04-18,41.261777044101464,41.36532214088103,40.92526585344211,41.21863555908203,1520792
2016-04-19,41.063322340536644,41.60692027962028,40.3298963301566,40.830352783203125,2056473
2016-04-20,40.81308963517056,41.73634707348656,40.37303338564284,41.2445182800293,2361871
2016-04-21,41.442975142279245,42.13325961097613,41.27040575408397,41.5465202331543,3545643
2016-04-22,41.54652484342692,41.97795009076781,40.65778115723733,40.83898162841797,1670812
2016-04-25,40.76990316695336,41.037612910393484,40.47628178661311,40.76126480102539,1491481
2016-04-26,40.76990037021676,41.25350693277362,40.666267673260364,41.00306701660156,1086910
2016-04-27,41.0980560651119,41.49530661031702,40.8821592553841,41.193050384521484,1571534
2016-04-28,40.83898488690959,40.942614118819186,39.45724795124809,39.552242279052734,2947244
2016-04-29,39.414064696382354,39.52633228811734,38.33458406287124,39.12908172607422,3083502
2016-05-02,39.36224792963483,39.71632050845288,39.12908130584438,39.560874938964844,1495684
2016-05-03,39.2068032200475,39.29315917223616,38.533204643324844,38.619564056396484,2036618
2016-05-04,38.26549044613669,38.47275233961809,37.69552456516644,38.37775802612305,2904906
2016-05-05,38.4641142298087,38.53320036824804,37.8768751313091,38.006412506103516,2174976
2016-05-06,37.85959436579528,38.31729599882401,37.47098231840098,37.86823272705078,2023591
2016-05-09,37.91143641990588,38.29141382481339,37.773264076624706,37.902801513671875,1634043
2016-05-10,37.980516291689305,38.4036750793457,37.80780089123626,38.4036750793457,2271943
2016-05-11,38.161861153383555,38.42093592405411,37.95459926031739,38.101409912109375,3351395
